epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,212.345,1.00721,2.01428,3.15721,0.99217,0.48236,0.45874,0.44476,0.38631,0.49802,0.46012,0.44825,0.40305,1.68717,2.15843,3.49033,1.06465,0.00332757,0.00332757,0.00332757
2,411.14,1.04654,1.924,2.16929,0.97737,0.39289,0.53909,0.45775,0.38366,0.39314,0.55555,0.46733,0.40362,1.83431,2.38034,2.78652,1.18097,0.00665431,0.00665431,0.00665431
3,611.619,1.18225,2.0032,1.89584,1.01921,0.46952,0.46087,0.46029,0.37845,0.45896,0.47563,0.46065,0.4158,1.8838,2.4025,2.56018,1.16931,0.00997444,0.00997444,0.00997444
4,810.047,1.19758,2.00364,1.59835,1.03179,0.51673,0.51173,0.52006,0.43546,0.51043,0.51087,0.51801,0.47153,1.84498,2.21437,1.90233,1.15872,0.0099703,0.0099703,0.0099703
5,1010.52,1.18645,2.01311,1.47425,1.02928,0.39509,0.46676,0.46961,0.37862,0.39046,0.46492,0.46494,0.36678,1.85601,2.4816,2.17661,1.13423,0.0099604,0.0099604,0.0099604
6,1209.36,1.12337,1.91748,1.32433,1.0127,0.44252,0.53309,0.45544,0.36722,0.42962,0.52312,0.4502,0.39673,1.79574,2.21021,2.4697,1.12297,0.0099505,0.0099505,0.0099505
7,1409.64,1.06104,1.85897,1.24648,0.99492,0.42319,0.56446,0.48531,0.41066,0.41231,0.54999,0.47669,0.43075,1.73115,2.20554,1.84308,1.10606,0.0099406,0.0099406,0.0099406
8,1609.87,1.0802,1.87627,1.20717,0.99262,0.51022,0.54126,0.52111,0.43775,0.48196,0.53458,0.51336,0.46118,1.70096,2.15474,1.78154,1.09869,0.0099307,0.0099307,0.0099307
9,1809.49,1.02286,1.80408,1.15064,0.9794,0.57375,0.54565,0.5085,0.43913,0.47497,0.55519,0.50972,0.45521,1.70797,2.12165,1.79062,1.11565,0.0099208,0.0099208,0.0099208
10,2006,1.02562,1.87017,1.14351,0.97837,0.40036,0.57988,0.52926,0.45621,0.38387,0.56596,0.51962,0.46984,1.64899,2.06781,1.79299,1.09395,0.0099109,0.0099109,0.0099109
11,2202.32,0.98274,1.77376,1.09779,0.97418,0.53418,0.56718,0.5409,0.46597,0.53496,0.56067,0.54255,0.48617,1.65522,2.03951,1.47466,1.1081,0.009901,0.009901,0.009901
12,2395.52,0.9862,1.78684,1.08453,0.97239,0.56547,0.53554,0.54558,0.46727,0.49635,0.54747,0.53074,0.48225,1.61252,2.05044,1.52157,1.09868,0.0098911,0.0098911,0.0098911
13,2589.43,0.96422,1.75144,1.0689,0.96528,0.49038,0.55311,0.53154,0.45884,0.45808,0.56065,0.53174,0.47927,1.65696,2.01917,1.54902,1.10163,0.0098812,0.0098812,0.0098812
14,2784.51,0.96176,1.78861,1.05817,0.95831,0.60954,0.47604,0.53508,0.46338,0.60954,0.47604,0.53287,0.47283,1.61687,2.01479,1.65714,1.08394,0.0098713,0.0098713,0.0098713
15,2979,0.98493,1.83113,1.05789,0.96737,0.44021,0.58331,0.51932,0.44654,0.43015,0.58836,0.51898,0.46499,1.63375,2.04976,1.88669,1.09455,0.0098614,0.0098614,0.0098614
16,3173.04,0.9329,1.72402,1.02969,0.95525,0.47395,0.56948,0.54977,0.47102,0.42329,0.5808,0.54294,0.4833,1.62363,2.00045,1.59373,1.09104,0.0098515,0.0098515,0.0098515
17,3366.27,0.95537,1.75889,1.04424,0.95609,0.47474,0.57301,0.54347,0.47104,0.45968,0.56459,0.53535,0.47863,1.5959,2.02793,1.67005,1.07698,0.0098416,0.0098416,0.0098416
18,3560.34,0.97338,1.79766,1.05218,0.96395,0.53952,0.58476,0.55372,0.48,0.49766,0.57529,0.54366,0.48888,1.55704,2.01417,1.42842,1.05254,0.0098317,0.0098317,0.0098317
19,3754.49,0.93224,1.70662,1.01297,0.95299,0.54996,0.57928,0.55702,0.48277,0.5281,0.57491,0.55287,0.49686,1.58624,1.9867,1.42888,1.06458,0.0098218,0.0098218,0.0098218
20,3948.55,0.93938,1.75659,1.00305,0.95174,0.59774,0.56981,0.56956,0.48957,0.57493,0.55926,0.56448,0.49947,1.56724,1.97221,1.40226,1.05759,0.0098119,0.0098119,0.0098119
21,4143.44,0.93584,1.69669,0.9791,0.9507,0.62148,0.55285,0.56569,0.48925,0.54807,0.57423,0.55477,0.49551,1.56594,1.97256,1.40259,1.06942,0.009802,0.009802,0.009802
22,4339.88,0.90467,1.69739,0.95626,0.9457,0.4461,0.59025,0.5474,0.47892,0.44572,0.58633,0.54824,0.49035,1.58414,2.01005,1.51274,1.05681,0.0097921,0.0097921,0.0097921
23,4534.18,0.92023,1.72835,0.97129,0.94545,0.45705,0.58381,0.54357,0.47097,0.44185,0.57027,0.53446,0.48167,1.57734,2.0115,1.53075,1.06493,0.0097822,0.0097822,0.0097822
24,4728.35,0.92911,1.736,0.98252,0.94525,0.47588,0.58284,0.5445,0.47771,0.53784,0.55221,0.54143,0.48531,1.56316,1.94851,1.5711,1.07271,0.0097723,0.0097723,0.0097723
25,4923.38,0.91583,1.71479,0.96283,0.95146,0.57445,0.57991,0.56614,0.49397,0.54887,0.58665,0.55947,0.50047,1.5295,1.92582,1.3813,1.0428,0.0097624,0.0097624,0.0097624
